input_id,hash40,piece,source,mult,nV,nL_norm,nL_sem,nRaw,delta,a,b_counted,b_spin,b_opaque,b_collapsed,c1,c2v,c2l,c2div,dV,dL,dV_om,nL_spawn_sem,delta_spawn,ood,c3,missing,ok
73,eb520bb0860a3cab,J,0,3,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
74,eb520bb0860a3cab,T,1,3,63,34,34,34,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
75,3d272f6a2dac7107,S,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
76,3d272f6a2dac7107,T,1,1,61,34,34,34,27,27,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
77,0990b69a5c824de3,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
78,0990b69a5c824de3,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
79,c91a10610fff046b,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
80,c91a10610fff046b,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
81,615990318675af94,L,0,1,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
82,615990318675af94,I,1,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
83,0d567c2166bbc911,L,0,1,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
84,0d567c2166bbc911,I,1,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
85,05125b9771a79b89,T,0,2,64,35,35,35,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
86,05125b9771a79b89,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
87,6ff0735630f4a177,J,0,3,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
88,6ff0735630f4a177,T,1,3,63,34,34,34,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
89,c49af44dce876e97,S,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
90,c49af44dce876e97,T,1,1,61,34,34,34,27,27,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
91,f9f6f27e6094334f,T,1,1,63,34,34,34,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
92,8ad74428852beeb3,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
93,8ad74428852beeb3,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
94,e720314ebf4722f5,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
95,e720314ebf4722f5,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
96,1eb08224f97850f5,L,0,1,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
97,1eb08224f97850f5,I,1,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
98,c9be125b97d92fe9,I,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
99,c9be125b97d92fe9,L,1,1,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
100,6b9bf8c6fac4f8ed,T,0,2,63,34,34,34,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
101,6b9bf8c6fac4f8ed,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
102,adec37205d1caced,J,0,2,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
103,adec37205d1caced,T,1,2,63,34,34,34,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
104,d075e9ef87b10131,J,0,2,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
105,d075e9ef87b10131,T,1,2,64,34,34,34,30,30,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
106,d2f196bdaa13136d,S,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
107,d2f196bdaa13136d,T,1,1,63,34,34,34,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
108,0673d3054e2a79ec,T,1,1,64,34,34,34,30,30,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
109,99e0cac692fde563,I,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
110,99e0cac692fde563,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
111,1ee553f70feb4fc3,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
112,1ee553f70feb4fc3,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
113,a403da037e1bc7c3,L,0,1,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
114,a403da037e1bc7c3,I,1,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
115,4662772560ab1091,L,0,1,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
116,4662772560ab1091,I,1,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
117,a9a6193e4ad3dca5,S,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
118,a9a6193e4ad3dca5,T,1,1,61,34,34,34,27,27,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
119,abb5c67ff40c2b24,T,1,1,63,34,34,34,29,29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
120,e9ac9af2f9654239,I,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
121,e9ac9af2f9654239,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
122,663e082c2949f2e3,L,0,1,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
123,663e082c2949f2e3,I,1,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
124,ac35f125f8262b41,I,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
125,ac35f125f8262b41,L,1,1,35,34,34,34,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
126,d7a561ca4b0841c1,T,0,2,63,35,35,35,28,28,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
127,d7a561ca4b0841c1,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
128,cf4ae04481b6c4b8,J,0,2,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
129,cf4ae04481b6c4b8,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
130,6e61ca88e81b2ee1,S,0,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
131,6e61ca88e81b2ee1,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
132,dd8d804192339861,I,1,2,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
133,57de20fbdfd886bf,I,0,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
134,57de20fbdfd886bf,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
135,c9ec1f9fd1ea5623,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
136,c9ec1f9fd1ea5623,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
137,c3f45e4f9b1c8723,I,0,1,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
138,c3f45e4f9b1c8723,O,1,1,9,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
139,588222f667b2b23d,L,0,1,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
140,588222f667b2b23d,I,1,1,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
141,edfe2b3271618b82,T,0,3,63,35,35,35,28,28,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
142,edfe2b3271618b82,I,1,3,18,17,17,17,1,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1
