# kind board t x y r search_type combo b2b under_attack clear value t2_value t3_value death out_combo out_b2b out_under_attack out_map_rise out_acc_value out_like out_value
eval 0 T 2 18 0 0 0 0 0 0 -5746.325049660 7 0 0 0 0 0 0 0 0 0
get 0 T 2 18 0 0 0 0 0 0 -5746.325049660 7 0 0 0 0 0 0 -582202555697.090820 76936.271725 -581392600911.148560
eval 0 T 4 18 0 0 1 0 0 0 -5686.603354236 0 0 0 0 0 0 0 0 0 0
get 0 T 4 18 0 0 1 0 0 0 -5686.603354236 0 0 0 0 0 0 0 -582202555697.090820 -13185.083441 -581401108112.611694
safe 1 I 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0
safe 1 O 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0
safe 1 S 0 0 0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0
safe 1 Z 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0
safe 1 L 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0
safe 1 J 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0
safe 1 T 0 0 0 0 0 0 0 0 0 12 0 0 0 0 0 0 0 0 0
eval 1 I 0 8 0 0 0 0 1 0 -2527.548788297 0 0 0 0 0 0 0 0 0 0
get 1 I 0 8 0 0 0 0 1 0 -2527.548788297 0 0 0 0 0 0 1 -273983584108.671082 -145035.377223 -273627488608.568726
eval 1 I 1 8 0 0 1 0 1 0 -2527.548788297 0 0 0 0 0 0 0 0 0 0
get 1 I 1 8 0 0 1 0 1 0 -2527.548788297 0 0 0 0 0 0 1 -273983584108.671082 -145035.377223 -273627488608.568726
eval 1 I 2 9 0 0 2 0 1 0 -2698.042109560 0 0 0 0 0 0 0 0 0 0
get 1 I 2 9 0 0 2 0 1 0 -2698.042109560 0 0 0 0 0 0 1 -273983584108.671082 -131850.342930 -273603446457.453400
eval 1 I 3 9 0 0 3 0 1 0 -2614.112654147 0 0 0 0 0 0 0 0 0 0
get 1 I 3 9 0 0 3 0 1 0 -2614.112654147 0 0 0 0 0 0 1 -273983584108.671082 -131850.342930 -273615275296.391937
eval 1 I 4 9 0 0 4 0 1 0 -2652.126752463 0 0 0 0 0 0 0 0 0 0
get 1 I 4 9 0 0 4 0 1 0 -2652.126752463 0 0 0 0 0 0 1 -273983584108.671082 -131850.342930 -273609917670.226471
eval 1 I 5 9 0 0 0 1 1 0 -2646.445842802 0 0 0 0 0 0 0 0 0 0
get 1 I 5 9 0 0 0 1 1 0 -2646.445842802 0 0 0 0 1 0 1 -273983584108.671082 -131850.342930 -273610718325.551514
eval 1 O -1 8 0 0 1 1 1 0 -2614.575483602 0 0 0 0 0 0 0 0 0 0
get 1 O -1 8 0 0 1 1 1 0 -2614.575483602 0 0 0 0 1 0 1 0.000000 -145035.377223 368360857.443837
eval 1 O 0 7 0 0 2 1 1 0 -2458.058367093 0 0 0 0 0 0 0 0 0 0
get 1 O 0 7 0 0 2 1 1 0 -2458.058367093 0 0 0 0 1 0 1 0.000000 -145035.377223 346301667.935213
eval 1 O 1 8 0 0 3 1 1 0 -2646.091970391 0 0 0 0 0 0 0 0 0 0
get 1 O 1 8 0 0 3 1 1 0 -2646.091970391 0 0 0 0 1 0 1 0.000000 -131850.342930 372815909.094581
eval 1 O 2 8 0 0 4 1 1 0 -2560.097079302 0 0 0 0 0 0 0 0 0 0
get 1 O 2 8 0 0 4 1 1 0 -2560.097079302 0 0 0 0 1 0 1 0.000000 -131850.342930 360695972.044778
eval 1 O 3 9 0 0 0 0 1 0 -2625.317639500 0 0 0 0 0 0 0 0 0 0
get 1 O 3 9 0 0 0 0 1 0 -2625.317639500 0 0 0 0 0 0 1 0.000000 -118665.308637 369901204.117477
eval 1 O 4 9 0 0 1 0 1 0 -2568.612931052 0 0 0 0 0 0 0 0 0 0
get 1 O 4 9 0 0 1 0 1 0 -2568.612931052 0 0 0 0 0 0 1 0.000000 -118665.308637 361909363.112575
eval 1 S 0 8 0 0 2 0 1 0 -2697.111759813 0 0 0 0 0 0 0 0 0 0
get 1 S 0 8 0 0 2 0 1 0 -2697.111759813 0 0 0 0 0 0 1 0.000000 -145035.377223 379993344.668771
eval 1 S 1 7 0 0 3 0 1 0 -2458.058367093 0 0 0 0 0 0 0 0 0 0
get 1 S 1 7 0 0 3 0 1 0 -2458.058367093 0 0 0 0 0 0 1 0.000000 -145035.377223 346301667.935213
eval 1 S 2 8 0 0 4 0 1 0 -2698.080900948 0 0 0 0 0 0 0 0 0 0
get 1 S 2 8 0 0 4 0 1 0 -2698.080900948 0 0 0 0 0 0 1 0.000000 -131850.342930 380143118.393390
eval 1 S 3 8 0 0 0 1 1 0 -2510.458450502 0 0 0 0 0 0 0 0 0 0
get 1 S 3 8 0 0 0 1 1 0 -2510.458450502 0 0 0 0 1 0 1 0.000000 -131850.342930 353700009.276806
eval 1 S 4 9 0 0 1 1 1 0 -2668.300221183 0 0 0 0 0 0 0 0 0 0
get 1 S 4 9 0 0 1 1 1 0 -2668.300221183 0 0 0 0 1 0 1 0.000000 -118665.308637 375959077.761352
eval 1 S 5 9 0 0 2 1 1 0 -2742.920685267 0 0 0 0 0 0 0 0 0 0
get 1 S 5 9 0 0 2 1 1 0 -2742.920685267 0 0 0 0 1 0 1 0.000000 -118665.308637 386475927.261041
eval 1 Z 0 7 0 0 3 1 1 0 -2442.820617693 0 0 0 0 0 0 0 0 0 0
get 1 Z 0 7 0 0 3 1 1 0 -2442.820617693 0 0 0 0 1 0 1 0.000000 -145035.377223 344154091.943547
eval 1 Z 1 8 0 0 4 1 1 0 -2712.349509213 0 0 0 0 0 0 0 0 0 0
get 1 Z 1 8 0 0 4 1 1 0 -2712.349509213 0 0 0 0 1 0 1 0.000000 -145035.377223 382140920.660437
eval 1 Z 2 8 0 0 0 0 1 0 -2652.747609866 0 0 0 0 0 0 0 0 0 0
get 1 Z 2 8 0 0 0 0 1 0 -2652.747609866 0 0 0 0 0 0 1 0.000000 -131850.342930 373753940.766482
eval 1 Z 3 9 0 0 1 0 1 0 -2730.872426122 0 0 0 0 0 0 0 0 0 0
get 1 Z 3 9 0 0 1 0 1 0 -2730.872426122 0 0 0 0 0 0 1 0.000000 -118665.308637 384777871.242271
eval 1 Z 4 9 0 0 2 0 1 0 -2660.137754625 0 0 0 0 0 0 0 0 0 0
get 1 Z 4 9 0 0 2 0 1 0 -2660.137754625 0 0 0 0 0 0 1 0.000000 -118665.308637 374808677.085204
eval 1 Z 5 9 0 0 3 0 1 0 -2755.952948299 0 0 0 0 0 0 0 0 0 0
get 1 Z 5 9 0 0 3 0 1 0 -2755.952948299 0 0 0 0 0 0 1 0.000000 -118665.308637 388312666.694792
eval 1 L 0 8 0 0 4 0 1 0 -2662.033110163 0 0 0 0 0 0 0 0 0 0
get 1 L 0 8 0 0 4 0 1 0 -2662.033110163 0 0 0 0 0 0 1 0.000000 -145035.377223 375049434.394961
eval 1 L 1 8 0 0 0 1 1 0 -2652.926254712 0 0 0 0 0 0 0 0 0 0
get 1 L 1 8 0 0 0 1 1 0 -2652.926254712 0 0 0 0 1 0 1 0.000000 -131850.342930 373779118.591123
eval 1 L 2 8 0 0 1 1 1 0 -2546.529606340 0 0 0 0 0 0 0 0 0 0
get 1 L 2 8 0 0 1 1 1 0 -2546.529606340 0 0 0 0 1 0 1 0.000000 -131850.342930 358783801.261817
eval 1 L 3 9 0 0 2 1 1 0 -2675.628083522 0 0 0 0 0 0 0 0 0 0
get 1 L 3 9 0 0 2 1 1 0 -2675.628083522 0 0 0 0 1 0 1 0.000000 -118665.308637 376991851.093972
eval 1 L 4 9 0 0 3 1 1 0 -2613.166516825 0 0 0 0 0 0 0 0 0 0
get 1 L 4 9 0 0 3 1 1 0 -2613.166516825 0 0 0 0 1 0 1 0.000000 -118665.308637 368188650.731567
eval 1 L 5 9 0 0 4 1 1 0 -2756.963595367 0 0 0 0 0 0 0 0 0 0
get 1 L 5 9 0 0 4 1 1 0 -2756.963595367 0 0 0 0 1 0 1 0.000000 -131850.342930 388441920.108744
eval 1 J 0 8 0 0 0 0 1 0 -2635.936910713 0 0 0 0 0 0 0 0 0 0
get 1 J 0 8 0 0 0 0 1 0 -2635.936910713 0 0 0 0 0 0 1 0.000000 -145035.377223 371371491.547801
eval 1 J 1 8 0 0 1 0 1 0 -2641.851629638 0 0 0 0 0 0 0 0 0 0
get 1 J 1 8 0 0 1 0 1 0 -2641.851629638 0 0 0 0 0 0 1 0.000000 -145035.377223 372205099.453230
