# board t x y r type flags is_check is_last_rotate is_ready is_mini_ready
1 S 8 9 3 0 0 0 0 0 0
1 Z 0 7 0 0 0 0 0 0 0
1 Z 1 8 0 0 0 0 0 0 0
1 Z 2 8 0 0 0 0 0 0 0
1 Z 3 9 0 0 0 0 0 0 0
1 Z 4 9 0 0 0 0 0 0 0
1 Z 5 9 0 0 0 0 0 0 0
1 Z 6 8 0 0 0 0 0 0 0
1 Z 7 8 0 0 0 0 0 0 0
1 Z 0 9 3 0 0 0 0 0 0
1 Z 1 8 3 0 0 0 0 0 0
1 Z 2 8 3 0 0 0 0 0 0
1 Z 3 9 3 0 0 0 0 0 0
1 Z 4 9 3 0 0 0 0 0 0
1 Z 5 10 3 0 0 0 0 0 0
1 Z 6 10 3 0 0 0 0 0 0
1 Z 7 7 3 0 0 0 0 0 0
1 Z 8 8 3 0 0 0 0 0 0
1 L 0 8 0 0 0 0 0 0 0
1 L 1 8 0 0 0 0 0 0 0
1 L 2 8 0 0 0 0 0 0 0
1 L 3 9 0 0 0 0 0 0 0
1 L 4 9 0 0 0 0 0 0 0
1 L 5 9 0 0 0 0 0 0 0
1 L 6 9 0 0 0 0 0 0 0
1 L 7 8 0 0 0 0 0 0 0
1 L 0 8 3 0 0 0 0 0 0
1 L 1 7 3 0 0 0 0 0 0
1 L 2 9 3 0 0 0 0 0 0
1 L 3 9 3 0 0 0 0 0 0
1 L 4 10 3 0 0 0 0 0 0
1 L 5 10 3 0 0 0 0 0 0
1 L 6 8 3 0 0 0 0 0 0
1 L 7 8 3 0 0 0 0 0 0
1 L 8 9 3 0 0 0 0 0 0
1 L 0 9 2 0 0 0 0 0 0
1 L 1 8 2 0 0 0 0 0 0
1 L 2 8 2 0 0 0 0 0 0
1 L 3 9 2 0 0 0 0 0 0
1 L 4 9 2 0 0 0 0 0 0
1 L 5 10 2 0 0 0 0 0 0
1 L 6 10 2 0 0 0 0 0 0
1 L 7 8 2 0 0 0 0 0 0
1 L -1 9 1 0 0 0 0 0 0
1 L 0 8 1 0 0 0 0 0 0
1 L 1 9 1 0 0 0 0 0 0
1 L 2 9 1 0 0 0 0 0 0
1 L 3 10 1 0 0 0 0 0 0
1 L 4 10 1 0 0 0 0 0 0
1 L 5 10 1 0 0 0 0 0 0
1 L 6 8 1 0 0 0 0 0 0
1 L 7 9 1 0 0 0 0 0 0
1 J 0 8 0 0 0 0 0 0 0
1 J 1 8 0 0 0 0 0 0 0
1 J 2 8 0 0 0 0 0 0 0
1 J 3 9 0 0 0 0 0 0 0
1 J 4 9 0 0 0 0 0 0 0
1 J 5 9 0 0 0 0 0 0 0
1 J 6 9 0 0 0 0 0 0 0
1 J 7 8 0 0 0 0 0 0 0
1 J 0 9 3 0 0 0 0 0 0
