pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
41,999,15870872133521185186,11788386011312806791,value,legacy,-1,1,0,0,2,123,108,119,122,123,67,81,1,1,6,8,10,7,0,0,0,0,0
42,999,6907633156088400131,2896845220103432667,legacy,value,-1,1,0,0,2,41,30,48,40,41,21,26,1,0,2,3,2,2,0,0,0,0,0
42,999,6907633156088400131,2896845220103432667,value,legacy,-1,1,0,0,2,169,201,205,168,169,113,137,2,1,9,10,10,5,0,0,0,0,0
43,999,16439899637537797435,11626430191019230771,legacy,value,-1,1,0,0,2,76,65,88,75,76,47,46,0,0,7,8,3,2,0,0,0,0,0
43,999,16439899637537797435,11626430191019230771,value,legacy,-1,1,0,0,2,71,73,75,70,71,41,57,0,0,4,4,5,1,0,0,0,0,0
44,999,8766547676489370692,6440909927750775942,legacy,value,1,0,1,0,1,103,121,98,103,102,69,73,0,1,5,7,7,3,0,0,0,0,0
44,999,8766547676489370692,6440909927750775942,value,legacy,-1,1,0,0,2,129,124,145,128,129,86,92,2,0,6,8,6,8,0,0,0,0,0
45,999,14093085793448290573,16068589023703875441,legacy,value,1,0,1,0,1,125,127,124,125,124,99,78,3,1,7,8,2,6,0,0,0,0,0
45,999,14093085793448290573,16068589023703875441,value,legacy,1,0,1,0,1,127,154,119,127,126,94,96,0,2,6,8,11,4,0,0,0,0,0
46,999,7484353436062000301,12167181428802484516,legacy,value,1,0,1,0,1,227,231,234,227,226,159,142,3,2,15,16,11,11,0,0,2,0,0
46,999,7484353436062000301,12167181428802484516,value,legacy,1,0,1,0,1,73,84,65,73,72,48,47,0,1,5,5,3,4,0,0,0,0,0
47,999,15076058471723694643,16012760041573821707,legacy,value,1,0,1,0,1,60,51,45,60,59,36,27,0,1,4,4,1,3,0,0,0,0,0
47,999,15076058471723694643,16012760041573821707,value,legacy,1,0,1,0,1,368,408,384,368,367,266,271,3,4,23,21,18,22,0,0,0,1,0
48,999,17667871891743029006,14938959752180983972,legacy,value,1,0,1,0,1,579,589,598,579,578,422,398,5,7,39,33,25,35,0,0,0,0,0
48,999,17667871891743029006,14938959752180983972,value,legacy,-1,1,0,0,2,799,848,852,798,799,580,594,9,13,47,35,38,41,0,0,0,0,0
49,999,7057826915789176280,17668902258314392875,legacy,value,1,0,1,0,1,399,434,435,399,398,321,298,7,4,13,23,26,20,0,0,0,0,0
49,999,7057826915789176280,17668902258314392875,value,legacy,1,0,1,0,1,46,61,34,46,45,29,27,0,2,3,2,3,1,0,0,0,0,0
50,999,11921842638807671469,6642800429116951342,legacy,value,-1,1,0,0,2,265,262,297,264,265,204,192,4,4,14,17,10,16,0,0,0,0,0
50,999,11921842638807671469,6642800429116951342,value,legacy,1,0,1,0,1,155,161,138,155,154,98,101,2,2,11,6,9,6,0,0,0,0,0
51,999,8611252525080343866,1240451582949763276,legacy,value,1,0,1,0,1,131,143,135,131,130,92,78,3,1,8,9,4,7,0,0,0,0,0
51,999,8611252525080343866,1240451582949763276,value,legacy,-1,1,0,0,2,143,134,158,142,143,97,93,1,1,10,5,7,8,0,0,0,0,0
52,999,1784632799573440455,9257455606338906140,legacy,value,1,0,1,0,1,334,333,326,334,333,229,217,3,0,20,26,15,17,0,0,0,0,0
52,999,1784632799573440455,9257455606338906140,value,legacy,1,0,1,0,1,108,112,99,108,107,79,74,2,1,6,7,2,5,0,0,0,0,0
53,999,3513245328830568878,301088435053969446,legacy,value,1,0,1,0,1,172,178,169,172,171,130,120,2,3,12,11,9,10,0,0,0,0,0
53,999,3513245328830568878,301088435053969446,value,legacy,1,0,1,0,1,131,163,127,131,130,87,101,0,4,8,5,5,5,0,0,0,0,0
54,999,433189151126234017,8012674985328518534,legacy,value,1,0,1,0,1,118,108,100,118,117,67,59,2,0,7,8,6,8,0,0,0,0,0
54,999,433189151126234017,8012674985328518534,value,legacy,-1,1,0,0,2,154,135,142,153,154,89,97,1,1,11,10,7,10,0,0,0,1,0
55,999,7630399331979385253,18287479510672754370,legacy,value,-1,1,0,0,2,56,49,71,55,56,36,35,0,0,4,2,3,6,0,0,0,0,0
55,999,7630399331979385253,18287479510672754370,value,legacy,1,0,1,0,1,276,313,291,276,275,199,208,3,1,14,13,12,18,0,0,1,0,0
56,999,8242160958663092423,14999584632616102503,legacy,value,1,0,1,0,1,399,408,413,399,398,309,278,7,7,23,24,16,23,0,0,1,1,0
56,999,8242160958663092423,14999584632616102503,value,legacy,1,0,1,0,1,520,554,506,520,519,340,359,3,1,32,40,34,22,0,0,1,1,0
57,999,8745831752444474395,7807858698332388183,legacy,value,1,0,1,0,1,37,42,27,37,36,21,18,0,1,2,2,3,2,0,0,0,0,0
57,999,8745831752444474395,7807858698332388183,value,legacy,-1,1,0,0,2,386,387,397,385,386,261,265,4,6,24,23,21,20,0,0,0,0,0
58,999,12510529982028780733,7241937552253233001,legacy,value,1,0,1,0,1,267,289,284,267,266,203,191,1,2,23,12,9,18,0,0,0,0,0
58,999,12510529982028780733,7241937552253233001,value,legacy,-1,1,0,0,2,310,305,312,309,310,204,216,4,1,20,22,15,17,0,0,0,0,0
