pair,seed,scenario_seed_p1,scenario_seed_p2,engine1,engine2,winner,dead1,dead2,capped,winner_reason,rounds,attack1,attack2,pieces1,pieces2,lines1,lines2,tspin_mini1,tspin_mini2,tspin_single1,tspin_single2,tspin_double1,tspin_double2,tspin_triple1,tspin_triple2,perfect_clear1,perfect_clear2,replay_failures
80,911,7370862788318733797,7035476760534251570,legacy,value,1,0,1,0,1,40,42,32,40,39,21,19,0,0,2,1,2,4,0,0,0,0,0
80,911,7370862788318733797,7035476760534251570,value,legacy,1,0,1,0,1,330,370,343,330,329,227,234,2,3,25,21,13,17,0,0,1,0,0
81,911,11875168450291800075,14714490464181014768,legacy,value,1,0,1,0,1,368,404,383,368,367,259,263,5,1,20,20,17,22,0,0,0,0,0
81,911,11875168450291800075,14714490464181014768,value,legacy,-1,1,0,0,2,50,39,50,49,50,25,29,0,0,4,1,3,5,0,0,0,0,0
82,911,8713017823575245962,14819498287904295986,legacy,value,-1,1,0,0,2,105,93,123,104,105,63,59,1,0,4,6,7,7,0,0,0,2,0
82,911,8713017823575245962,14819498287904295986,value,legacy,-1,1,0,0,2,380,393,384,379,380,246,271,4,1,30,22,18,16,0,0,0,1,0
83,911,16276319031690488620,6838418604881985260,legacy,value,1,0,1,0,1,71,64,54,71,70,37,34,1,1,4,4,5,5,0,0,0,0,0
83,911,16276319031690488620,6838418604881985260,value,legacy,-1,1,0,0,2,101,103,99,100,101,58,79,0,2,6,5,6,5,0,0,0,0,0
84,911,6806682521674859803,388563504590143613,legacy,value,1,0,1,0,1,364,393,376,364,363,271,260,7,2,17,22,20,19,0,0,0,0,0
84,911,6806682521674859803,388563504590143613,value,legacy,1,0,1,0,1,78,107,87,78,77,58,51,0,2,1,7,7,2,0,0,0,0,0
85,911,1149424063209633628,12060043367708850882,legacy,value,-1,1,0,0,2,37,31,48,36,37,19,24,0,0,4,2,1,2,0,0,0,0,0
85,911,1149424063209633628,12060043367708850882,value,legacy,-1,1,0,0,2,159,145,170,158,159,112,114,2,3,6,12,9,7,0,0,0,0,0
86,911,3180424427397419826,4172385120551004974,legacy,value,1,0,1,0,1,129,132,122,129,128,84,76,1,1,11,8,5,9,0,0,0,0,0
86,911,3180424427397419826,4172385120551004974,value,legacy,1,0,1,0,1,187,189,160,187,186,122,130,1,2,13,10,9,5,0,0,0,0,0
87,911,5236448817770332801,11865314490308458323,legacy,value,1,0,1,0,1,117,129,114,117,116,86,77,1,1,9,8,4,5,0,0,0,0,0
87,911,5236448817770332801,11865314490308458323,value,legacy,-1,1,0,0,2,277,270,272,276,277,172,181,1,4,20,18,13,10,0,0,0,0,0
88,911,14844816073816850574,7704308672341285439,legacy,value,-1,1,0,0,2,205,215,235,204,205,144,147,1,2,14,13,11,11,0,0,0,0,0
88,911,14844816073816850574,7704308672341285439,value,legacy,1,0,1,0,1,283,300,271,283,282,194,201,3,5,14,15,18,17,0,0,0,1,0
89,911,1787922487914490881,4808488531096150013,legacy,value,-1,1,0,0,2,177,160,194,176,177,120,112,2,2,15,11,6,10,0,0,1,0,0
89,911,1787922487914490881,4808488531096150013,value,legacy,1,0,1,0,1,139,168,149,139,138,107,104,1,3,8,7,9,7,0,0,0,0,0
90,911,10342775487253955185,17454242634292660692,legacy,value,-1,1,0,0,2,106,103,112,105,106,67,76,2,2,8,5,3,8,0,0,0,0,0
90,911,10342775487253955185,17454242634292660692,value,legacy,1,0,1,0,1,418,463,417,418,417,281,293,2,2,25,23,21,28,0,0,1,0,0
91,911,1520588412882077763,7710763016965785425,legacy,value,1,0,1,0,1,1517,1619,1642,1517,1516,1157,1117,19,20,80,70,78,95,0,1,0,1,0
91,911,1520588412882077763,7710763016965785425,value,legacy,-1,1,0,0,2,291,279,277,290,291,195,215,1,7,22,13,15,13,0,0,0,0,0
92,911,9349417334840096907,3442633632930137557,legacy,value,1,0,1,0,1,275,295,296,275,274,204,194,2,3,13,11,15,18,0,0,0,0,0
92,911,9349417334840096907,3442633632930137557,value,legacy,-1,1,0,0,2,268,278,276,267,268,177,197,4,4,18,22,13,6,0,0,2,0,0
